Chaetura fumosa,
Chaetura spinicaudus,
Rhaphidura sabini,
Streptoprocne semicollaris,
Streptoprocne biscutata,
Cypseloides cryptus,
Cypseloides fumigatus,
Cypseloides lemosi,
Cypseloides senex,
Cypseloides cherriei,
Cypseloides storeri,
Cypseloides rothschildi,
Mearnsia novaeguineae,
Mearnsia picina,
Zoonavena sylvatica,
Zoonavena grandidieri,
Zoonavena thomensis,
Schoutedenapus myoptilus,
Panyptila cayennensis,
Panyptila sanctihieronymi,
Telacanthura melanopygia,
Telacanthura ussheri,
Aegotheles affinis,
Batrachostomus javensis,
Batrachostomus stellatus,
Batrachostomus chaseni,
Batrachostomus harterti,
Batrachostomus poliolophus,
Nyctiprogne vielliardi,
Quechuavis decussata,
Setopagis heterura,
Chordeiles gundlachii,
Siphonorhis americana,
Caprimulgus prigoginei,
Antrostomus cubanensis,
Caprimulgus natalensis,
Antrostomus noctitherus,
Antrostomus badius,
Caprimulgus mahrattensis,
Caprimulgus pulchellus,
Caprimulgus tristigma,
Caprimulgus eximius,
Caprimulgus ruficollis,
Nyctipolus hirundinaceus,
Caprimulgus donaldsoni,
Caprimulgus concretus,
Setopagis maculosa,
Caprimulgus solala,
Caprimulgus asiaticus,
Caprimulgus stellatus,
Caprimulgus nubicus,
Caprimulgus andamanicus,
Caprimulgus clarus,
Caprimulgus celebensis,
Caprimulgus phalaena,
Macropsalis forcipata,
Veles binotatus,
Eurostopodus diabolicus,
Lyncornis temminckii,
Eurostopodus archboldi,
Eurostopodus exul,
Eurostopodus nigripennis,
Microcarbo niger,
Urile perspicillatus,
Phalacrocorax fuscicollis,
Microcarbo africanus,
Egretta picata,
Egretta vinaceigula,
Egretta ardesiaca,
Nyctanassa carcinocatactes,
Nycticorax megacephalus,
Nycticorax duboisi,
Nycticorax mauritianus,
Ardea coromanda,
Ardeola grayii,
Ardea sumatrana,
Botaurus poiciloptilus,
Botaurus novaezelandiae,
Botaurus dubius,
Agamia agami,
Threskiornis melanocephalus,
Threskiornis bernieri,
Threskiornis spinicollis,
Pseudibis gigantea,
Pseudibis papillosa,
Pseudibis davisoni,
Lophotibis cristata,
Bostrychia carunculata,
Bostrychia bocagei,
Bostrychia hagedash,
Bostrychia olivacea,
Bostrychia rara,
Cercibis oxycerca,
Leptoptilos dubius,
Anastomus lamelligerus,
Anastomus oscitans,
Oceanites gracilis,
Fregetta maoriana,
Oceanites pincoyae,
Calonectris edwardsii,
Pachyptila belcheri,
Pachyptila macgillivrayi,
Pachyptila crassirostris,
Bulweria bifax,
Bulweria fallax,
Procellaria conspicillata,
Pseudobulweria macgillivrayi,
Pseudobulweria becki,
Pterodroma ultima,
Pterodroma leucoptera,
Pterodroma atrata,
Pterodroma occulta,
Pterodroma caribbaea,
Pterodroma rupinarum,
Pterodroma defilippiana,
Pterodroma pycrofti,
Pterodroma brevipes,
Puffinus bryani,
Puffinus heinrothi,
Puffinus bannermani,
Hydrobates monteiroi,
Hydrobates markhami,
Hydrobates matsudairae,
Hydrobates jabejabe,
Hydrobates hornbyi,
Hydrobates socorroensis,
Hydrobates cheimomnestes,
Nesofregetta fuliginosa,
Hydrobates macrodactylus,
Diomedea amsterdamensis,
Diomedea antipodensis,
Diomedea dabbenena,
Diomedea sanfordi,
Thalassarche carteri,
Rallicula rubra,
Rallina canningi,
